ID,NAME_EN,NAME_ZH
009.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",疑似感染性之大腸炎，腸炎及胃腸炎
009.2,Infectious diarrhea,感染性腹瀉
009.3,Diarrhea of presumed infectious origin,疑似感染性之腹瀉
010.00,"Primary tuberculous complex, unspecified",原發性結核複合症
010.01,"Primary tuberculous complex,bacteriological or histological examination not done",未作細菌學或組織學檢查之原發性結核複合症
010.02,"Primary tuberculous complex ,bacteriological or histological examination unknown(at present)",細菌學或組織檢查未知(至今)之原發性結核複合症
010.03,"Primary tuberculous complex ,tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之原發性結核複合症
010.04,"Primary tuberculous complex, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發性結核複合症
010.05,"Primary tuberculous complex, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌但組織學確認為結核病之原發性結核複合症
010.06,"Primary tuberculous complex, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認為原發性結核複合症
010.10,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",原發進行性之結核性肋膜炎
010.11,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",未作細菌學或組織學檢查之原發進行性之結核性肋膜炎
010.12,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown(at present)",細菌學或組織檢查未知(至今)之原發進行性之結核性肋膜炎
010.13,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之原發進行性之結核性肋膜炎
010.14,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發進行性之結核性肋膜炎
010.15,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌但組織學確認結核病之原發進行性之結核性肋膜炎
010.16,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animal]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之原發進行性之結核性肋膜炎
010.80,"Other primary progressive tuberculosis, unspecified",其他原發進行性結核病
010.81,"Other primary progressive tuberculosis, bacteriological or histological examination not done",未作細菌學或組織學檢查之其他原發進行性結核病
010.82,"Other primary progressive tuberculosis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之其他原發進行性結核病
010.83,"Other primary progressive tuberculosis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之其他原發進行性結核病
010.84,"Other primary progressive tuberculosis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他原發進行性結核病
010.85,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之其他原發進行性結核病
010.86,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他原發進行性結核病
010.90,"Primary tuberculous infection, unspecified",原發性結核感染
010.91,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",未作細菌學或組織學檢查之原發性結核感染
010.92,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之原發性結核感染
010.93,"Primary tuberculous infection, unspecified, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之原發性結核感染
010.94,"Primary tuberculous infection, unspecified, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發性結核感染
010.95,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之原發性結核感染
010.96,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之原發性結核感染
011.00,"Tuberculosis of lung, infiltrative, unspecified",浸潤性肺結核
011.01,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",未作細菌學或組織學檢查之浸潤性肺結核
011.02,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之浸潤性肺結核
011.03,"Tuberculosis of lung, infiltrative, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之浸潤性肺結核
011.04,"Tuberculosis of lung, infiltrative, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之浸潤性肺結核
011.05,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之浸潤性肺結核
011.06,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之浸潤性肺結核
011.10,"Tuberculosis of lung, nodular, unspecified",結節性肺結核
011.11,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",未作細菌學或組織學檢查之結節性肺結核
011.12,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown(at present)",細菌學或組織學查未知(至今)之結節性肺結核
011.13,"Tuberculosis of lung, nodular, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結節性肺結核
011.14,"Tuberculosis of lung, nodular, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結節性肺結核
011.15,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結節性肺結核
011.16,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結節性肺結核
011.20,"Tuberculosis of lung with cavitation, unspecified",肺結核併肺空洞
011.21,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",未作細菌學或組織學檢查之肺結核併肺空洞
011.22,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之肺結核併肺空洞
011.23,"Tuberculosis of lung with cavitation, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之肺結核併肺空洞
011.24,"Tuberculosis of lung with cavitation, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之肺結核併肺空洞
011.25,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之肺結核併肺空洞
011.26,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之肺結核併肺空洞
011.30,"Tuberculosis of bronchus, unspecified",支氣管結核
011.31,"Tuberculosis of bronchus, bacteriological or histological examination not done",未作細菌學或組織學檢查之支氣管結核
011.32,"Tuberculosis of bronchus, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之支氣管結核
011.33,"Tuberculosis of bronchus, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之支氣管結核
011.34,"Tuberculosis of bronchus, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之支氣管結核
011.35,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之支氣管結核
011.36,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之支氣管結核
011.40,"Tuberculous fibrosis of lung, unspecified",結核性肺纖維化症
011.41,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性肺纖維化症
011.42,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性肺纖維化症
011.43,"Tuberculous fibrosis of lung, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性肺纖維化症
011.44,"Tuberculous fibrosis of lung, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肺纖維化症
011.45,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性肺纖維化症
011.46,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他之法(如動物接種試驗)確認之結核性肺纖維化症
011.50,"Tuberculous brochiectasis, unspecified",結核性支氣管擴張症
011.51,"Tuberculous bronchiectasis, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性支氣管擴張症
011.52,"Tuberculous bronchiectasis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性支氣管擴張症
011.53,"Tuberculous bronchiectasis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性支氣管擴張症
011.54,"Tuberculous bronchiectasis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性支氣管擴張症
011.55,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性支氣管擴張症
011.56,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結菌，但經由其他方法(如動物接種試驗)確認之結核性支氣管擴張症
011.60,"Tuberculous pneumonia[any form], unspecified",結核性肺炎(任何形式)
011.61,"Tuberculous pneumonia[any form], bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性肺炎(任何形式)
011.62,"Tuberculous pneumonia[any form], bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性肺炎(任何形式)
011.63,"Tuberculous pneumonia[any form], tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核細菌之結核性肺炎(任何形式)
011.64,"Tuberculous pneumonia[any form], tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肺炎(任何形式)
011.65,"Tuberculous pneumonia[any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性肺炎(任何形式)
011.66,"Tuberculous pneumonia[any form], tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核肺炎(任何形式)
011.70,"Tuberculous pneumothorax, unspecified",結核性氣胸
011.71,"Tuberculous pneumothorax, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性氣胸
011.72,"Tuberculous pneumothorax, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性氣胸
011.73,"Tuberculous pneumothorax, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性氣胸
011.74,"Tuberculous pneumothorax, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性氣胸
011.75,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性氣胸
011.76,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性氣胸
011.80,"Other specified pulmonary tuberculosis, unspecified",其他特定肺結核
011.81,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",未作細菌學或組織學檢查之其他特定肺結核
011.82,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之其他特定肺結核
011.83,"Other specified pulmonary tuberculosis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之其他特定肺結核
011.84,"Other specified pulmonary tuberculosis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定肺結核
011.85,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","細菌學檢查未發現結核菌,但組織學確認結核病之其他特定肺結核"
011.86,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定肺結核
011.90,"Pulmonary tuberculosis, unspecified",肺結核
011.91,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",未作細菌學或組織學檢查之肺結核
011.92,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown",細菌學或組織學檢查未知(至今)之肺結核
011.93,"Pulmonary tuberculosis, unspecified, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之肺結核
011.94,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之肺結核
011.95,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之肺結核
011.96,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之肺結核
012.00,"Tuberculous pleurisy, unspecified",結核性肋膜炎
012.01,"Tuberculous pleurisy, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性肋膜炎
012.02,"Tuberculous pleurisy, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性肋膜炎
012.03,"Tuberculous pleurisy, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性肋膜炎
012.04,"Tuberculous pleurisy , tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肋膜炎
012.05,"Tuberculous pleurisy , tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性肋膜炎
012.06,"Tuberculous pleurisy , tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性肋膜炎
012.10,"Tuberculosis of intrathoracic lymph nodes,",unspecified胸腔內淋巴結結核
012.11,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",未作細菌學或組織學檢查之胸腔內淋巴結結核
012.12,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之胸腔內淋巴結結核
012.13,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之胸腔內淋巴結結核
012.14,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之胸腔內淋巴結結核
012.15,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之胸腔內淋巴結結核
012.16,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之胸腔內淋巴結結核
012.20,"Isolated tracheal or bronchial tuberculosis,",unspecified孤立性氣管或支氣管結核
012.21,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",未作細菌學或組織學檢查之孤立性氣管或支氣管結核
012.22,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknowm(at present)",細菌學或組織學檢查未知(至今)之孤立性氣管或支氣管結核
012.23,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之孤立性氣管或支氣管結核
012.24,"Isolated tracheal or bronchial tuberculosis , tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之孤立性氣管或支氣管結核
012.25,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之孤立性氣管或支氣管結核
012.26,"Isolated tracheal or bronchial tuberculosis , tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之孤立性氣管或支氣管結核
012.30,"Tuberculous laryngitis, unspecified",結核性喉炎
012.31,"Tuberculous laryngitis, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性喉炎
012.32,"Tuberculous laryngitis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之結核性喉炎
012.33,"Tuberculous laryngitis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性喉炎
012.34,"Tuberculous laryngitis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性喉炎
012.35,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性喉炎
012.36,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性喉炎
012.80,"Other specified respiratory tuberculosis, unspecified",其他特定呼吸道結核
012.81,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",未作細菌學或組織學檢查之其他特定呼吸道結核
012.82,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之其他特定呼吸道結核
012.83,"Other specified respiratory tuberculosis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之其他特定呼吸道結核病
012.84,"Other specified respiratory tuberculosis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定呼吸道結核
012.85,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之其他特定呼吸道結核病
012.86,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定呼吸道結核
013.00,"Tuberculous meningitis, unspecified",結核性腦膜炎
013.01,"Tuberculous meningitis, bacteriological or histological examination not done",未作細菌學或組織學檢查之結核性腦膜炎
013.02,"Tuberculous meningitis, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查不詳(至今)之結核性腦膜炎
013.03,"Tuberculous meningitis, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之結核性腦膜炎
013.04,"Tuberculous meningitis, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性腦膜炎
013.05,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之結核性腦膜炎
013.06,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性腦膜炎
013.10,"Tuberculoma of meninges, unspecified",腦膜結核瘤
013.11,"Tuberculoma of meninges, bacteriological or histological examination not done",未作細菌學或組織學檢查之腦膜結核瘤
013.12,"Tuberculoma of meninges, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之腦膜結核瘤
013.13,"Tuberculoma of meninges, tubercle bacilli found(in sputum) by microscopy",顯微鏡檢(痰)發現結核菌之腦膜結核瘤
013.14,"Tuberculoma of meninges, tubercle bacilli not found(in sputum) by microscopy, but found by bacterial culture",顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之腦膜結核瘤
013.15,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",細菌學檢查未發現結核菌，但組織學確認結核病之腦膜結核瘤
013.16,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]",細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之腦膜結核瘤
013.20,"Tuberculoma of brain, unspecified",腦結核瘤
013.21,"Tuberculoma of brain, bacteriological or histological examination not done",未作細菌學或組織學檢查之腦結核瘤
013.22,"Tuberculoma of brain, bacteriological or histological examination unknown(at present)",細菌學或組織學檢查未知(至今)之腦結核瘤
